#{"t_start": 1777335602.488024, "env_id": "MountainCarContinuous-v0"}
r,l,t
32.0,68,642.678539
31.0,69,643.290508
29.0,71,643.90636
28.0,72,644.553565
30.0,70,645.215524
23.0,77,645.887773
28.0,73,646.606341
33.0,68,647.252683
28.0,72,647.928685
29.0,71,648.647077
30.0,71,649.29881
27.0,73,649.96056
30.0,70,650.549216
31.0,69,651.205771
28.0,72,651.854025
29.0,71,652.500311
24.0,76,653.157101
28.0,72,653.818794
29.0,72,654.517208
28.0,72,655.171038
27.0,73,655.886268
26.0,74,656.528926
30.0,70,657.190247
29.0,71,657.772634
30.0,71,658.418186
28.0,72,659.047291
26.0,74,659.756752
25.0,75,660.396288
30.0,70,661.071003
31.0,70,661.630643
31.0,69,662.27911
28.0,72,662.913388
31.0,69,663.543961
31.0,69,664.135767
25.0,75,664.857762
26.0,74,665.512417
28.0,74,666.174174
31.0,70,666.854047
27.0,73,667.506023
30.0,71,668.162431
28.0,72,668.81911
29.0,71,669.474625
26.0,74,670.141881
28.0,72,670.818589
23.0,77,671.610144
31.0,69,672.247886
29.0,71,672.92042
30.0,70,673.577228
29.0,71,674.279856
26.0,75,674.936461
30.0,71,675.610723
28.0,72,676.28563
28.0,72,676.942423
29.0,71,677.596341
28.0,72,678.267934
26.0,74,678.946215
28.0,72,679.618744
25.0,75,680.375777
27.0,73,681.056457
30.0,70,681.655998
29.0,71,682.37269
25.0,76,683.152663
29.0,71,683.820698
26.0,74,684.466777
32.0,68,685.049697
30.0,70,685.697227
31.0,69,686.364041
24.0,78,687.096384
27.0,73,687.753521
27.0,73,688.398432
27.0,73,689.0912
28.0,72,689.841565
30.0,70,690.514508
29.0,71,691.172845
33.0,67,691.764256
29.0,71,692.416689
20.0,80,693.154081
32.0,68,693.742457
32.0,68,694.416731
30.0,70,695.083033
27.0,73,695.752584
25.0,75,696.458069
32.0,68,697.205713
28.0,72,697.862745
31.0,69,698.475576
28.0,72,699.178572
29.0,71,699.835554
28.0,72,700.482229
29.0,71,701.135898
26.0,74,701.869504
24.0,76,702.61183
28.0,72,703.297488
27.0,73,703.959492
30.0,70,704.667644
28.0,72,705.339516
26.0,74,705.993762
29.0,71,706.647583
28.0,72,707.309765
29.0,71,707.966767
30.0,70,708.559014
32.0,68,709.221964
28.0,73,709.884079
29.0,71,710.549679
30.0,70,711.221728
29.0,71,711.80967
22.0,78,712.527828
28.0,72,713.187173
30.0,70,713.860914
24.0,76,714.516412
27.0,74,715.242468
28.0,73,715.903198
27.0,73,716.55071
27.0,73,717.199382
30.0,70,717.845179
27.0,73,718.491337
24.0,76,719.14026
32.0,68,719.791434
29.0,72,720.449756
26.0,74,721.098939
28.0,73,721.75456
26.0,74,722.481025
30.0,70,723.066129
31.0,69,723.722706
27.0,73,724.449773
28.0,72,725.129126
28.0,72,725.798474
27.0,73,726.497617
28.0,72,727.159395
29.0,71,727.811416
30.0,70,728.464933
31.0,69,729.042334
29.0,71,729.693008
